G1,G2,G3,G4
0.05952391961226211,0.05384410006924659,0.2846367789559279,(0.9216154147079171-0.27101494905222423j)
0.05952391961226211,0.05384410006924659,0.2846367789559279,(0.9216154147079171-0.27101494905222423j)
0.06575928334696622,0.06406387015484548,0.2839924099261371,(1.1026406105968165-0.25525390993397856j)
0.04657872498373248,0.0784888261288974,0.2926478228285438,(0.9001379791967451-0.2937217221817158j)
0.05848099607417781,0.09544961306611864,0.30058758152776616,(0.9024490161642807-0.2277255628431652j)
0.051267959281350445,0.11832550095890533,0.3136238622182042,(0.902805477592466-0.23483231221519874j)
0.053953451758430984,0.11191499946578598,0.3055027664372507,(0.8990020235422841-0.3007260339031267j)
0.0455703877558414,0.10910898659649784,0.3073730645997861,(0.9638942603088109-0.07088937965202761j)
0.04052929960040714,0.11632208340865474,0.31697973923096506,(0.7970156959781752-0.03921555082996762j)
0.0402388126604693,0.11790037496978971,0.3109596566301902,(0.957155358957122-0.011303844174419283j)
0.03973492151313404,0.12179475192969849,0.31217054672240613,(0.9504318855152477+0.02884982685658838j)
0.03736516867467918,0.12957082079720786,0.318469763072722,(1.0107250656241753+0.18299007787791816j)
0.03701273784709107,0.13261180558513583,0.3228900049502342,(0.8607685525330947+0.1963283305269065j)
0.036833172057572056,0.13449592751954503,0.31668242232330424,(0.8502615911021654+0.031015369113015095j)
0.037221155054113886,0.1343291166613045,0.3173390783009661,(0.8896941060979722+0.007637498869125339j)
0.038293287058712704,0.13136782237727,0.3205793517407015,(0.8669996792021206-0.02274344611145795j)
0.03785614075744999,0.1345336658917683,0.31922085409815515,(0.9289304014084092-0.08485483886675871j)
0.047424901468779604,0.13295455139401977,0.31796885222859533,(0.8636248501097818+0.06551742937951546j)
0.046750841750787614,0.13483680231895645,0.31722938461904265,(0.8824013334038366+0.08812795778476544j)
0.047862990779303366,0.13029212775231772,0.3161744773194802,(0.809051903196822+0.08561311586330872j)
0.04884148358452559,0.1283225695782895,0.31006649556246907,(0.7946384624588879-0.05143407245796295j)
0.049048212074410937,0.12830708946001518,0.30920313999250076,(0.8527285655576835+0.0713175966029832j)
0.04995780761094101,0.12539710161047637,0.30838700140680175,(0.8879453543747609-0.012759526644496757j)
0.049103036000905556,0.1251643656591146,0.3120533106219802,(0.799912428797269+0.0878712700268201j)
0.04988398329326315,0.12431765636195498,0.31239687021202456,(0.8869416084324491+0.16045546262791807j)
0.05008868800623351,0.12113082705587358,0.3106943019463023,(0.80578576294086+0.1780373063198765j)
0.05167943172158346,0.11764256371611626,0.3084712043464616,(0.8250120867056244+0.09774874591034033j)
0.05166750758114492,0.11844857123787429,0.30861367297329145,(0.8050898258331708+0.02169663030729819j)
0.05130406488192128,0.11945143009387668,0.30560518951727417,(0.8377056118729805+0.06495221880356743j)
0.0506932855846123,0.1217398760817316,0.3083604571730523,(0.9030615681303129+0.09897900240061751j)
0.0501960019966624,0.12858053487351673,0.3089834814510245,(0.9994950769612223+0.05217413734120925j)
0.050726934488764724,0.12661944639320533,0.3080339349320554,(0.9853792158719775+0.06284134812881663j)
0.042320198865641284,0.1274995836204781,0.31157969775285793,(0.9424299361346796+0.0917282272171098j)
0.04543397779313463,0.13052742742044496,0.3104958149243092,(0.9489034862204958+0.10969715719996848j)
0.04474397631154351,0.13164840648956516,0.31413931067523687,(0.9926444856240288+0.15110946498573785j)
0.04325860442898217,0.1368561882415516,0.31694351812168997,(1.0109592033803525+0.09153853472506462j)
0.039181879239440456,0.13952348715702723,0.31740673616867177,(0.994038741144472+0.10179973470709083j)
0.03903385181351648,0.14069115348643155,0.31668956208021015,(0.9905746438709008+0.14861535488871025j)
0.039021774426681075,0.13913088656935663,0.31308797862736865,(0.9563195969487674+0.21193059146867316j)
0.04277893982057843,0.13744078712059427,0.31646127828123055,(0.9290803572884343+0.19758216526589426j)
0.04327008928731077,0.13552659513462254,0.3154700573777462,(0.9172814977302931+0.12987568767752852j)
0.043826478617820866,0.13401601339539126,0.31425742493316233,(0.8677548627213056+0.11319595378478602j)
0.0443462621293028,0.13318823656688938,0.3115104032438492,(0.9315077611117253+0.08850828642183228j)
0.044081126555124944,0.1331688844431469,0.3123409437869273,(0.9140742254669071+0.10776107267547415j)
0.04465086639644637,0.13266665946658673,0.31382314770080755,(0.9200373946004429+0.0633524870069372j)
0.04487780674998394,0.13276023007915216,0.3121737125958601,(0.8861799712954341+0.0033950986596346182j)
0.04552116719541518,0.13144330936056656,0.3131635528467684,(0.9558846357307378+0.0073913332467737645j)
0.04635742033915985,0.12861126297172193,0.3125953777307007,(0.8723322939567302+0.018756818479750283j)
