G1,G2,G3,G4
0.04133489334192664,0.08010822467587574,0.2914989776603616,(1.1777651627833126-0.20117871795784031j)
0.04133489334192664,0.08010822467587574,0.2914989776603616,(1.1777651627833126-0.20117871795784031j)
0.04882347187822102,0.07440123788074397,0.28628469966194764,(1.2258266317176247-0.24047532513977093j)
0.047088026532033755,0.08100372770277728,0.28685060424279696,(1.2035699991388311-0.10741042012329591j)
0.056147292979820615,0.06907879644295332,0.28133260006332406,(1.3064666088184853-0.24176069166433967j)
0.045403954309835695,0.08709271116526318,0.2973588347926639,(1.0631430379989504-0.33687855857804944j)
0.04597629475804883,0.0863669059918116,0.2890225047190166,(1.1397713355827135-0.1707203990431201j)
0.04565624933966017,0.08871881999385163,0.2967604312158728,(1.0425739414539839-0.3636236986016768j)
0.05188271549816874,0.09622503641774582,0.30186829299831774,(1.1271893176111267-0.2544698676376623j)
0.041642998801714605,0.10483833537260005,0.3062413713188058,(1.1319627972385062-0.11426730296863656j)
0.0377078006242325,0.11778085351395026,0.31143264165604234,(1.0306862684511675+0.0011148539120480355j)
0.0373563785519158,0.12040272772270405,0.3160282433528648,(0.9850657093304696+0.05837314722828717j)
0.03746799664718806,0.11877500578680728,0.31611765197109215,(0.9720492602718149+0.01664090950792905j)
0.03997662843955209,0.12188352449188783,0.3132939283902046,(1.186590320064972-0.009958471486532412j)
0.041051649630214404,0.12135841130436063,0.31378907441721426,(0.9705312607420044+0.09285513477291656j)
0.03683168740867648,0.1260822930480523,0.3125280510399536,(1.0135231317978237+0.09203000594544342j)
0.03769180158403493,0.12569145911178162,0.3103980392416526,(1.030711533582815+0.069528726224745j)
0.0390073217497975,0.12204659375979451,0.30726090517730176,(0.9845588382402854+0.07869814359538074j)
0.037867651011607925,0.1269588085912052,0.3071563629239289,(0.8946719525350921+0.16544461321604667j)
0.03632055579753949,0.13653986667294563,0.3180841134426279,(1.0080008954153254+0.17681450066744456j)
0.03588963357621759,0.13824837903034634,0.3186244362558001,(0.9868779435252053+0.12653127373845582j)
0.03834006150701878,0.13232349464374019,0.31317448617348714,(0.9576800976774258+0.1562839644272581j)
0.03845920852126655,0.13277998885540318,0.3128560967692513,(0.9848787369279156+0.15684500804994336j)
0.038464489533057485,0.13231549783319646,0.31575373226513814,(0.9229948785974249+0.1356816139410248j)
0.03861363269866651,0.13033850187473728,0.3130502464353285,(0.8969387392918063+0.05063560694318519j)
0.039549600475020576,0.12745630142834852,0.31270894519997766,(0.9128427711617358-0.01193986098706553j)
0.03963911269998651,0.12779848872201344,0.3155810672884799,(0.9313356624316359+0.08953616655459012j)
0.0409496795969674,0.12583873062947096,0.3150927590324974,(0.982607562894303+0.10404577435933553j)
0.042037061187566026,0.1216908175204359,0.31322416251734947,(1.0322029613805126+0.040460214011637685j)
0.040428185739751266,0.12577279702503938,0.31337966498312964,(0.9821556366375607+0.13618834972029248j)
0.03948892207754352,0.1289691901655067,0.3129947462614504,(0.9776870977441497+0.15657944524127898j)
0.038527294441344555,0.13498867005471005,0.31874323927348513,(0.9911523620410759+0.13328084147387476j)
0.038613240065722115,0.13414139407820344,0.31820361664943797,(0.9890874330624062-0.015336560739080423j)
0.03856482262161483,0.13413772696651532,0.31447145693606887,(1.0130719349248751-0.0015242148753346833j)
0.038549473509891866,0.1318760405880497,0.3145061005848503,(1.034691702159931+0.04517374113206664j)
0.03771272605770266,0.13628894584909626,0.31856624415000523,(0.9486326906215026+0.04785794919718504j)
0.03793619016829051,0.13950682525465719,0.32000608219921234,(1.0140914531410992+0.03692906727790187j)
0.03910184414374359,0.1423931150714863,0.3219676860911087,(1.0190599155957425-0.021516129368190327j)
0.03892139880371861,0.1449290811428242,0.3299698742233165,(1.0978346657162943-0.021454900526356693j)
0.03843544536898165,0.14556595110388026,0.32739257179415,(1.10412793812857+0.03372036336331308j)
